epoch,avg_train_loss,avg_val_loss
1,0.12288610935872475,0.008254368432487051
2,0.005470342775696569,0.002255371049977839
3,0.0021705965862124496,0.001164490219283228
4,0.001333345463444319,0.0008196654710142563
5,0.0010859051858110784,0.0007253060922569906
